IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
ɡʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
kʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,+,-,0,-
qʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,-,-,+,-,0,-
ɖʰ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,-,-,-,-,0,-
ɟʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ɢʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,-,-,+,-,0,-
ʈʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,-
bʰ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,-,-,-,-,0,-
b͡dʰ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,-,-,-,-,0,-
dʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,-
d̪ʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,0,-
pʰ,-,-,+,-,-,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
p͡tʰ,-,-,+,-,-,-,-,0,-,+,-,+,+,-,+,-,-,-,-,0,-
tʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,-
t̪ʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0,-
b͡βʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,0,0,0,-,0,-
k͡xʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,+,-,0,-,0,-
p͡ɸʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,+,0,0,0,-,0,-
q͡χʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,-,-,+,-,0,-
ɡ͡ɣʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,0,-,0,-
ɢ͡ʁʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,-,-,+,-,0,-
c͡çʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,0,-
d͡ʒʰ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,0,-
t͡ʃʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,0,-
ɖ͡ʐʰ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,0,0,0,-,0,-
ɟ͡ʝʰ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,-,-,-,0,-
ʈ͡ʂʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,0,0,0,-,0,-
b͡vʰ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,-,-,-,-,0,-
d̪͡z̪ʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,0,0,0,-,0,-
d̪͡ðʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,0,0,0,-,0,-
d̪͡ɮ̪ʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,0,0,0,-,0,-
d͡zʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,0,-
d͡ɮʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,0,0,0,-,0,-
d͡ʑʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,-,-,-,0,-
p͡fʰ,-,-,+,-,+,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
t̪͡s̪ʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,0,0,0,-,0,-
t̪͡ɬ̪ʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,0,0,0,-,0,-
t̪͡θʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,0,0,0,-,0,-
t͡sʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,-,-,-,-,-,-,0,-
t͡ɕʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,+,-,-,-,0,-
t͡ɬʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,0,0,0,-,0,-
xʰ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,+,-,0,-
çʰ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,-,-,0,-
ʂʰ,-,-,+,+,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,0,-
ʃʰ,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,0,-
