IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
jʷˠ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,-
wʷˠ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,-,+,+,0,-
ɹʷˠ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
ɻʷˠ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
lʷˠ,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,+,0,-
l̪ʷˠ,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,+,-,+,+,0,-
ɦʷˠ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,+,-,+,+,0,-
k͡pʷˠʰ,-,-,+,-,-,-,-,0,-,+,-,0,-,0,+,+,-,+,+,0,-
ɡ͡bʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,-,+,+,0,-
cʷˠʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,+,+,0,-
ɡʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
kʷˠʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,+,+,0,-
qʷˠʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,+,+,0,-
ɖʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,+,-,+,+,0,-
ɟʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ɢʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ʈʷˠʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,0,-
bʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,+,-,+,+,0,-
b͡dʷˠʰ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,+,-,+,+,0,-
dʷˠʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,+,0,-
d̪ʷˠʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,+,+,0,-
pʷˠʰ,-,-,+,-,-,-,-,0,-,+,-,+,-,0,+,+,-,+,+,0,-
p͡tʷˠʰ,-,-,+,-,-,-,-,0,-,+,-,+,+,-,+,+,-,+,+,0,-
tʷˠʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,+,0,-
t̪ʷˠʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,+,0,-
b͡βʷˠʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,+,0,+,+,0,-
k͡xʷˠʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,+,-,+,+,0,-
p͡ɸʷˠʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,+,+,0,+,+,0,-
q͡χʷˠʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,+,-,+,+,0,-
ɡ͡ɣʷˠʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,+,+,0,-
ɢ͡ʁʷˠʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,+,+,0,-
c͡çʷˠʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,+,+,0,-
d͡ʒʷˠʰ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,+,-,+,+,0,-
t͡ʃʷˠʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,+,-,+,-,+,+,0,-
ɖ͡ʐʷˠʰ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,0,+,+,0,-
ɟ͡ʝʷˠʰ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,-,+,+,0,-
ʈ͡ʂʷˠʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,+,0,+,+,0,-
b͡vʷˠʰ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,+,-,+,+,0,-
d̪͡z̪ʷˠʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,0,+,+,0,-
d̪͡ðʷˠʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,0,+,+,0,-
d̪͡ɮ̪ʷˠʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,+,0,+,+,0,-
d͡zʷˠʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,0,-
d͡ɮʷˠʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,0,+,+,0,-
d͡ʑʷˠʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,-,+,+,0,-
p͡fʷˠʰ,-,-,+,-,+,-,-,0,-,+,-,+,-,0,+,+,-,+,+,0,-
t̪͡s̪ʷˠʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,+,0,+,+,0,-
t̪͡ɬ̪ʷˠʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,0,+,+,0,-
t̪͡θʷˠʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,0,+,+,0,-
t͡sʷˠʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,-,-,+,-,+,+,0,-
t͡ɕʷˠʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,+,-,+,+,0,-
t͡ɬʷˠʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,0,+,+,0,-
xʷˠʰ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,+,+,0,-
çʷˠʰ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,+,+,0,-
ʂʷˠʰ,-,-,+,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,+,0,-
ʃʷˠʰ,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-,+,-,+,+,0,-
χʷˠʰ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,+,+,0,-
fʷˠʰ,-,-,+,+,-,-,-,0,-,+,-,+,-,0,+,+,-,+,+,0,-
sʷˠʰ,-,-,+,+,-,-,-,+,-,+,-,+,+,-,-,+,-,+,+,0,-
s̪ʷˠʰ,-,-,+,+,-,-,-,+,-,+,-,+,+,+,-,+,-,+,+,0,-
ɸʷˠʰ,-,-,+,+,-,-,-,0,-,+,-,+,-,0,+,+,-,+,+,0,-
θʷˠʰ,-,-,+,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,+,0,-
ɧʷˠʰ,-,-,+,+,+,-,-,0,-,+,-,-,+,+,-,+,-,+,+,0,-
ɕʷˠʰ,-,-,+,+,+,-,-,+,-,+,-,+,+,+,-,+,-,+,+,0,-
k͡pʷˤ,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,+,+,+,0,-
ɡ͡bʷˤ,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,+,+,+,0,-
cʷˤ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
ɡʷˤ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
kʷˤ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
qʷˤ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
ɖʷˤ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,+,+,+,+,0,-
ɟʷˤ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ɠʷˤ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,+,+,+,0,-
ɢʷˤ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ʄʷˤ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,+,+,+,0,-
ʈʷˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,+,+,+,0,-
ʛʷˤ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,+,+,+,0,-
bʷˤ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,+,+,+,+,0,-
b͡dʷˤ,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,+,+,+,+,0,-
dʷˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
d̪ʷˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,+,+,+,0,-
pʷˤ,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,+,+,+,+,0,-
p͡tʷˤ,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,+,+,+,+,0,-
tʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,0,-
t̪ʷˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,+,0,-
ɓʷˤ,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,+,+,+,+,0,-
ɗʷˤ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,+,+,+,0,-
b͡βʷˤ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,+,+,+,+,0,-
k͡xʷˤ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,+,+,+,0,-
p͡ɸʷˤ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,+,+,+,+,0,-
q͡χʷˤ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,+,+,+,0,-
ɡ͡ɣʷˤ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,+,+,+,0,-
ɢ͡ʁʷˤ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,+,+,+,0,-
c͡çʷˤ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,+,0,-
d͡ʒʷˤ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,+,+,+,+,0,-
t͡ʃʷˤ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,+,+,+,+,0,-
ɖ͡ʐʷˤ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,+,+,+,+,0,-
ɟ͡ʝʷˤ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,+,+,+,0,-
ʈ͡ʂʷˤ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,+,+,+,0,-
b͡vʷˤ,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,+,+,+,+,0,-
d̪͡z̪ʷˤ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,+,+,+,0,-
d̪͡ðʷˤ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,+,+,+,0,-
d̪͡ɮ̪ʷˤ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,+,+,+,+,0,-
d͡zʷˤ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,+,+,+,0,-
d͡ɮʷˤ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
d͡ʑʷˤ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,+,+,+,0,-
p͡fʷˤ,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,+,+,+,+,0,-
t̪͡s̪ʷˤ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,+,+,+,0,-
t̪͡ɬ̪ʷˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,+,+,+,0,-
t̪͡θʷˤ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,+,+,+,0,-
t͡sʷˤ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,+,+,+,0,-
t͡ɕʷˤ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,+,+,+,0,-
t͡ɬʷˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,0,-
xʷˤ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
çʷˤ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
ħʷˤ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
ɣʷˤ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ʁʷˤ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ʂʷˤ,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,+,+,+,0,-
ʃʷˤ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,+,+,+,+,0,-
ʐʷˤ,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,+,+,+,0,-
ʒʷˤ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,+,+,+,0,-
ʕʷˤ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ʝʷˤ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
χʷˤ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,+,+,0,-
fʷˤ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,+,+,+,0,-
sʷˤ,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,+,+,+,+,0,-
s̪ʷˤ,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,+,+,+,+,0,-
vʷˤ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,+,+,+,0,-
zʷˤ,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,+,+,+,+,0,-
z̪ʷˤ,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,+,+,+,+,0,-
ðʷˤ,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,+,+,+,+,0,-
ɸʷˤ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,+,+,+,0,-
βʷˤ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,+,+,+,0,-
θʷˤ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,+,+,+,0,-
ɧʷˤ,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,+,+,+,0,-
ɕʷˤ,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,+,+,+,0,-
ɬʷˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,0,-
ɬ̪ʷˤ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,+,+,+,0,-
ɮʷˤ,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
ʑʷˤ,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,+,+,+,0,-
ɱʷˤ,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,+,+,+,+,0,-
ʔʷˤ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
ŋʷˤ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,+,+,+,0,-
ɳʷˤ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,+,+,+,+,0,-
ɴʷˤ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,+,+,+,0,-
mʷˤ,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,+,+,+,+,0,-
nʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,+,+,+,0,-
n̪ʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,+,+,+,0,-
ɲʷˤ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,+,+,+,0,-
ɥʷˤ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,+,+,+,+,-
ɰʷˤ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,+,+,+,+,-
ʋʷˤ,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,+,+,+,+,0,-
ʀʷˤ,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,+,+,+,+,0,-
ʙʷˤ,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,+,+,+,+,0,-
ʟʷˤ,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,+,+,+,0,-
ɭʷˤ,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,+,+,+,+,0,-
ɽʷˤ,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,+,+,+,0,-
ʎʷˤ,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,+,+,+,0,-
rʷˤ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
r̪ʷˤ,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,+,+,+,0,-
ɫʷˤ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
ɺʷˤ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
ɾʷˤ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
ʍʷˤ,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,+,+,+,0,-
hʷˤ,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,+,+,+,+,0,-
jʷˤ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,+,0,-
wʷˤ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,+,+,+,0,-
ɹʷˤ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,0,-
ɻʷˤ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,0,-
lʷˤ,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,+,+,+,+,0,-
l̪ʷˤ,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,+,+,+,+,0,-
ɦʷˤ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,+,+,+,+,0,-
k͡pʷˤʼ,-,-,+,-,-,-,-,0,-,-,+,0,-,0,+,+,+,+,+,0,-
cʷˤʼ,-,-,+,-,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
kʷˤʼ,-,-,+,-,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
qʷˤʼ,-,-,+,-,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
ʈʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,+,0,-
pʷˤʼ,-,-,+,-,-,-,-,0,-,-,+,+,-,0,+,+,+,+,+,0,-
p͡tʷˤʼ,-,-,+,-,-,-,-,0,-,-,+,+,+,-,+,+,+,+,+,0,-
tʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,+,+,+,0,-
t̪ʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,+,+,+,0,-
k͡xʷˤʼ,-,-,+,-,+,-,-,0,-,-,+,0,-,0,-,+,+,+,+,0,-
p͡ɸʷˤʼ,-,-,+,-,+,-,-,0,-,-,+,0,-,0,+,+,+,+,+,0,-
q͡χʷˤʼ,-,-,+,-,+,-,-,0,-,-,+,0,-,0,-,+,+,+,+,0,-
c͡çʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,+,+,+,0,-
t͡ʃʷˤʼ,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,+,+,+,+,0,-
ʈ͡ʂʷˤʼ,-,-,+,-,+,-,-,+,-,-,+,-,+,-,-,+,+,+,+,0,-
p͡fʷˤʼ,-,-,+,-,+,-,-,0,-,-,+,+,-,0,+,+,+,+,+,0,-
t̪͡s̪ʷˤʼ,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,+,+,+,0,-
t̪͡ɬ̪ʷˤʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,+,+,+,+,0,-
t̪͡θʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,+,+,+,+,0,-
t͡sʷˤʼ,-,-,+,-,+,-,-,+,-,-,+,+,+,-,-,+,+,+,+,0,-
t͡ɕʷˤʼ,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,+,+,+,0,-
t͡ɬʷˤʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,+,+,+,+,0,-
xʷˤʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
çʷˤʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
ħʷˤʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
ʂʷˤʼ,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,+,+,+,+,0,-
ʃʷˤʼ,-,-,+,+,-,-,-,+,-,-,+,-,+,+,-,+,+,+,+,0,-
χʷˤʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,+,+,+,0,-
fʷˤʼ,-,-,+,+,-,-,-,0,-,-,+,+,-,0,+,+,+,+,+,0,-
sʷˤʼ,-,-,+,+,-,-,-,+,-,-,+,+,+,-,-,+,+,+,+,0,-
s̪ʷˤʼ,-,-,+,+,-,-,-,+,-,-,+,+,+,+,-,+,+,+,+,0,-
ɸʷˤʼ,-,-,+,+,-,-,-,0,-,-,+,+,-,0,+,+,+,+,+,0,-
θʷˤʼ,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,+,+,+,+,0,-
ɧʷˤʼ,-,-,+,+,+,-,-,0,-,-,+,-,+,+,-,+,+,+,+,0,-
ɕʷˤʼ,-,-,+,+,+,-,-,+,-,-,+,+,+,+,-,+,+,+,+,0,-
ɬʷˤʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,+,+,+,+,0,-
ɬ̪ʷˤʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,+,+,+,+,0,-
k͡pʷˤʰ,-,-,+,-,-,-,-,0,-,+,-,0,-,0,+,+,+,+,+,0,-
ɡ͡bʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,+,+,+,0,-
cʷˤʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,+,+,+,0,-
ɡʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,+,+,+,0,-
kʷˤʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,+,+,+,0,-
qʷˤʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,+,+,+,0,-
ɖʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,+,+,+,+,0,-
ɟʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,+,+,+,0,-
ɢʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,+,+,+,0,-
ʈʷˤʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,+,+,+,0,-
bʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,+,+,+,+,0,-
b͡dʷˤʰ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,+,+,+,+,0,-
dʷˤʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,+,+,+,0,-
d̪ʷˤʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,+,+,+,0,-
pʷˤʰ,-,-,+,-,-,-,-,0,-,+,-,+,-,0,+,+,+,+,+,0,-
p͡tʷˤʰ,-,-,+,-,-,-,-,0,-,+,-,+,+,-,+,+,+,+,+,0,-
tʷˤʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,+,+,+,0,-
t̪ʷˤʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,+,+,+,0,-
b͡βʷˤʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,+,+,+,+,0,-
k͡xʷˤʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,+,+,+,+,0,-
p͡ɸʷˤʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,+,+,+,+,+,0,-
q͡χʷˤʰ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,+,+,+,+,0,-
ɡ͡ɣʷˤʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,+,+,+,0,-
ɢ͡ʁʷˤʰ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,+,+,+,0,-
c͡çʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,+,+,+,0,-
d͡ʒʷˤʰ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,+,+,+,+,0,-
t͡ʃʷˤʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,+,-,+,+,+,+,0,-
ɖ͡ʐʷˤʰ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,+,+,+,0,-
ɟ͡ʝʷˤʰ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,+,+,+,0,-
ʈ͡ʂʷˤʰ,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,+,+,+,+,0,-
b͡vʷˤʰ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,+,+,+,+,0,-
d̪͡z̪ʷˤʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,+,+,+,0,-
d̪͡ðʷˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,+,+,+,0,-
d̪͡ɮ̪ʷˤʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,+,+,+,+,0,-
d͡zʷˤʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,+,+,+,0,-
d͡ɮʷˤʰ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,+,+,+,0,-
d͡ʑʷˤʰ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,+,+,+,0,-
p͡fʷˤʰ,-,-,+,-,+,-,-,0,-,+,-,+,-,0,+,+,+,+,+,0,-
t̪͡s̪ʷˤʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,+,+,+,+,0,-
t̪͡ɬ̪ʷˤʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,+,+,+,+,0,-
t̪͡θʷˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,+,+,+,0,-
t͡sʷˤʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,-,-,+,+,+,+,0,-
t͡ɕʷˤʰ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,+,+,+,+,0,-
t͡ɬʷˤʰ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,+,+,+,+,0,-
k͡pʷː,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,+,+,0,+
ɡ͡bʷː,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,+,+,0,+
cʷː,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,+
ɡʷː,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,+
kʷː,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,+
qʷː,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,+,0,+
ɖʷː,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,+,-,+,+,0,+
ɟʷː,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,+
ɠʷː,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,+,0,+
ɢʷː,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,+,0,+
